data,timestamp
"{'event': 'gtm.click', 'gtm.element': 'WebElement(tag=a, text=BUILD AND RESERVE)', 'gtm.elementClasses': 'primary-link hero__primary-cta   icon-ignite-configure', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementUrl': 'https://buildyour.landroverusa.com/lr/en_us/l460_k25/4boyy/a-ab_a-si6-550_a-swb_h/a-rec-ab-swb-d_n-041cz_n-1aa/ipr/personalise/engine/?_gl=1*1c3rah8*_gcl_aw*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_dc*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_au*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*FPAU*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*_ga*MTIzNzgwNTY4NC4xNzI1MDMwMTMw*_ga_HHX77PWHW5*MTcyNTYyNjczNS4xOS4xLjE3MjU2Mjg2MDYuMC4wLjI5NTE5ODkyMg..*_fplc*RzdlcEJka2owQXdQd1FrMzFHT3AxNU40JTJGdXM2YTElMkZWVk0lMkJ2U3E5QUJmYmNEbHdEY0U0eVpxRXZIYWFQQzgwa2o1VFFyZEsxTXNFZDZYWUhBdmklMkJJUnI5RCUyRkxrc3U1d2tKT0glMkI3SFpvbEtVYzBBSkRCUCUyQkZWdWhvOGdRcHclM0QlM0Q.&_ga=2.107410626.133256551.1725376351-1237805684.1725030130%23_gl=1*5jwygv*_gcl_aw*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_dc*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_au*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*FPAU*MTA4NDUyMzI1LjE3MjEzMzU4MjI.', 'gtm.triggers': '598,599,2630,2631,2632,2633,2634,2635,2636,2637,2638,2639,2640,2641,2642,2643,2644,2645,2646,2647,2648,2649,2650,2651,2652,2653,2654,2655,2656,2657,2658,2659,2660,2661,2662,2663,2664,2665,2666,2667,2668,2669,2670,2671,2672,2673,2674,2675,2676,2677,3657,3698,3699,3700,3701,3702,3703,3704,3705,3706,3707,3708,3709,3710,3711,6268,6269,6270,6271,6272,6273', 'gtm.uniqueEventId': 16647}",2025-02-07T15:54:07.893Z
"{'event': 'gtm.linkClick', 'eventCallback': {}, 'eventTimeout': 2000, 'gtm.element': 'WebElement(tag=a, text=BUILD AND RESERVE)', 'gtm.elementClasses': 'primary-link hero__primary-cta   icon-ignite-configure', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementText': 'BUILD AND RESERVE', 'gtm.elementUrl': 'https://buildyour.landroverusa.com/lr/en_us/l460_k25/4boyy/a-ab_a-si6-550_a-swb_h/a-rec-ab-swb-d_n-041cz_n-1aa/ipr/personalise/engine/?_gl=1*1c3rah8*_gcl_aw*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_dc*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_au*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*FPAU*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*_ga*MTIzNzgwNTY4NC4xNzI1MDMwMTMw*_ga_HHX77PWHW5*MTcyNTYyNjczNS4xOS4xLjE3MjU2Mjg2MDYuMC4wLjI5NTE5ODkyMg..*_fplc*RzdlcEJka2owQXdQd1FrMzFHT3AxNU40JTJGdXM2YTElMkZWVk0lMkJ2U3E5QUJmYmNEbHdEY0U0eVpxRXZIYWFQQzgwa2o1VFFyZEsxTXNFZDZYWUhBdmklMkJJUnI5RCUyRkxrc3U1d2tKT0glMkI3SFpvbEtVYzBBSkRCUCUyQkZWdWhvOGdRcHclM0QlM0Q.&_ga=2.107410626.133256551.1725376351-1237805684.1725030130%23_gl=1*5jwygv*_gcl_aw*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_dc*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_au*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*FPAU*MTA4NDUyMzI1LjE3MjEzMzU4MjI.', 'gtm.triggers': '8326285_29,8326285_77,8326285_108,8326285_111,8326285_113,8326285_115,8326285_120,8326285_121,8326285_123,8326285_148,8326285_176,8326285_178,8326285_185,8326285_790,8326285_791,8326285_794,8326285_860,8326285_930,8326285_931,8326285_932,8326285_933,8326285_934,8326285_935,8326285_936,8326285_937,8326285_938,8326285_939,8326285_952,8326285_962,8326285_967,8326285_973,8326285_1171,8326285_1190,8326285_1218,8326285_1847,8326285_1961,8326285_2011,8326285_2019,8326285_2097,104136541_22,599761_7,599761_8,599761_33,599761_53,599761_64,599761_83,599761_87,599761_88,599761_89,599761_90,104141769_603,104141769_632,104141769_633,104141769_634,104141769_635,104141769_636,104141769_637,104141769_638,104141769_639,104141769_640,104141769_641,104141769_642,104141769_643,104141769_733', 'gtm.uniqueEventId': 17680, 'gtm.willOpenInNewWindow': False}",2025-02-07T15:54:08.094Z
"{'getUntrustedMessageValue': {}, 'value': {'event': 'coreWebVitals', 'gtm.uniqueEventId': 19028, 'webVitalsMeasurement': {'delta': 2163.9000000059605, 'deltaRounded': 2164, 'id': 'v4-1738943620920-9106558289351', 'name': 'LCP', 'navigationType': 'navigate', 'rating': 'good', 'value': 2163.9000000059605, 'valueRounded': 2164}}}",2025-02-07T15:54:08.700Z
"{'event': 'gtm.click', 'gtm.element': 'WebElement(tag=span, text=BUILD AND RESERVE)', 'gtm.elementClasses': 'cta-content', 'gtm.elementId': '', 'gtm.elementTarget': '', 'gtm.elementUrl': '', 'gtm.triggers': '598,599,2630,2631,2632,2633,2634,2635,2636,2637,2638,2639,2640,2641,2642,2643,2644,2645,2646,2647,2648,2649,2650,2651,2652,2653,2654,2655,2656,2657,2658,2659,2660,2661,2662,2663,2664,2665,2666,2667,2668,2669,2670,2671,2672,2673,2674,2675,2676,2677,3657,3698,3699,3700,3701,3702,3703,3704,3705,3706,3707,3708,3709,3710,3711,6268,6269,6270,6271,6272,6273', 'gtm.uniqueEventId': 19974}",2025-02-07T15:54:12.015Z
"{'event': 'gtm.linkClick', 'eventCallback': {}, 'eventTimeout': 2000, 'gtm.element': 'WebElement(tag=a, text=BUILD AND RESERVE)', 'gtm.elementClasses': 'primary-link hero__primary-cta   icon-ignite-configure', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementText': 'BUILD AND RESERVE', 'gtm.elementUrl': 'https://buildyour.landroverusa.com/lr/en_us/l460_k25/4boyy/a-ab_a-si6-550_a-swb_h/a-rec-ab-swb-d_n-041cz_n-1aa/ipr/personalise/engine/?_gl=1*1c3rah8*_gcl_aw*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_dc*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_au*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*FPAU*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*_ga*MTIzNzgwNTY4NC4xNzI1MDMwMTMw*_ga_HHX77PWHW5*MTcyNTYyNjczNS4xOS4xLjE3MjU2Mjg2MDYuMC4wLjI5NTE5ODkyMg..*_fplc*RzdlcEJka2owQXdQd1FrMzFHT3AxNU40JTJGdXM2YTElMkZWVk0lMkJ2U3E5QUJmYmNEbHdEY0U0eVpxRXZIYWFQQzgwa2o1VFFyZEsxTXNFZDZYWUhBdmklMkJJUnI5RCUyRkxrc3U1d2tKT0glMkI3SFpvbEtVYzBBSkRCUCUyQkZWdWhvOGdRcHclM0QlM0Q.&_ga=2.107410626.133256551.1725376351-1237805684.1725030130%23_gl=1*5jwygv*_gcl_aw*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_dc*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_au*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*FPAU*MTA4NDUyMzI1LjE3MjEzMzU4MjI.', 'gtm.triggers': '8326285_29,8326285_77,8326285_108,8326285_111,8326285_113,8326285_115,8326285_120,8326285_121,8326285_123,8326285_148,8326285_176,8326285_178,8326285_185,8326285_790,8326285_791,8326285_794,8326285_860,8326285_930,8326285_931,8326285_932,8326285_933,8326285_934,8326285_935,8326285_936,8326285_937,8326285_938,8326285_939,8326285_952,8326285_962,8326285_967,8326285_973,8326285_1171,8326285_1190,8326285_1218,8326285_1847,8326285_1961,8326285_2011,8326285_2019,8326285_2097,104136541_22,599761_7,599761_8,599761_33,599761_53,599761_64,599761_83,599761_87,599761_88,599761_89,599761_90,104141769_603,104141769_632,104141769_633,104141769_634,104141769_635,104141769_636,104141769_637,104141769_638,104141769_639,104141769_640,104141769_641,104141769_642,104141769_643,104141769_733', 'gtm.uniqueEventId': 21007, 'gtm.willOpenInNewWindow': False}",2025-02-07T15:54:12.188Z
"{'event': 'gtm.click', 'gtm.element': 'WebElement(tag=a, text=LEARN MORE)', 'gtm.elementClasses': ' secondary-link  None', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementUrl': 'https://www.landroverusa.com/range-rover/range-rover/index.html#electric-hybrid', 'gtm.triggers': '598,599,2630,2631,2632,2633,2634,2635,2636,2637,2638,2639,2640,2641,2642,2643,2644,2645,2646,2647,2648,2649,2650,2651,2652,2653,2654,2655,2656,2657,2658,2659,2660,2661,2662,2663,2664,2665,2666,2667,2668,2669,2670,2671,2672,2673,2674,2675,2676,2677,3657,3698,3699,3700,3701,3702,3703,3704,3705,3706,3707,3708,3709,3710,3711,6268,6269,6270,6271,6272,6273', 'gtm.uniqueEventId': 22355}",2025-02-07T15:54:15.657Z
"{'event': 'gtm.linkClick', 'eventCallback': {}, 'eventTimeout': 2000, 'gtm.element': 'WebElement(tag=a, text=LEARN MORE)', 'gtm.elementClasses': ' secondary-link  None', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementText': 'LEARN MORE', 'gtm.elementUrl': 'https://www.landroverusa.com/range-rover/range-rover/index.html#electric-hybrid', 'gtm.triggers': '8326285_29,8326285_77,8326285_108,8326285_111,8326285_113,8326285_115,8326285_120,8326285_121,8326285_123,8326285_148,8326285_176,8326285_178,8326285_185,8326285_790,8326285_791,8326285_794,8326285_860,8326285_930,8326285_931,8326285_932,8326285_933,8326285_934,8326285_935,8326285_936,8326285_937,8326285_938,8326285_939,8326285_952,8326285_962,8326285_967,8326285_973,8326285_1171,8326285_1190,8326285_1218,8326285_1847,8326285_1961,8326285_2011,8326285_2019,8326285_2097,104136541_22,599761_7,599761_8,599761_33,599761_53,599761_64,599761_83,599761_87,599761_88,599761_89,599761_90,104141769_603,104141769_632,104141769_633,104141769_634,104141769_635,104141769_636,104141769_637,104141769_638,104141769_639,104141769_640,104141769_641,104141769_642,104141769_643,104141769_733', 'gtm.uniqueEventId': 23388, 'gtm.willOpenInNewWindow': False}",2025-02-07T15:54:15.812Z
"{'event': 'gtm.click', 'gtm.element': 'WebElement(tag=span, text=LEARN MORE)', 'gtm.elementClasses': 'cta-content', 'gtm.elementId': '', 'gtm.elementTarget': '', 'gtm.elementUrl': '', 'gtm.triggers': '598,599,2630,2631,2632,2633,2634,2635,2636,2637,2638,2639,2640,2641,2642,2643,2644,2645,2646,2647,2648,2649,2650,2651,2652,2653,2654,2655,2656,2657,2658,2659,2660,2661,2662,2663,2664,2665,2666,2667,2668,2669,2670,2671,2672,2673,2674,2675,2676,2677,3657,3698,3699,3700,3701,3702,3703,3704,3705,3706,3707,3708,3709,3710,3711,6268,6269,6270,6271,6272,6273', 'gtm.uniqueEventId': 24699}",2025-02-07T15:54:19.279Z
"{'event': 'gtm.linkClick', 'eventCallback': {}, 'eventTimeout': 2000, 'gtm.element': 'WebElement(tag=a, text=LEARN MORE)', 'gtm.elementClasses': ' secondary-link  None', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementText': 'LEARN MORE', 'gtm.elementUrl': 'https://www.landroverusa.com/range-rover/range-rover/index.html#electric-hybrid', 'gtm.triggers': '8326285_29,8326285_77,8326285_108,8326285_111,8326285_113,8326285_115,8326285_120,8326285_121,8326285_123,8326285_148,8326285_176,8326285_178,8326285_185,8326285_790,8326285_791,8326285_794,8326285_860,8326285_930,8326285_931,8326285_932,8326285_933,8326285_934,8326285_935,8326285_936,8326285_937,8326285_938,8326285_939,8326285_952,8326285_962,8326285_967,8326285_973,8326285_1171,8326285_1190,8326285_1218,8326285_1847,8326285_1961,8326285_2011,8326285_2019,8326285_2097,104136541_22,599761_7,599761_8,599761_33,599761_53,599761_64,599761_83,599761_87,599761_88,599761_89,599761_90,104141769_603,104141769_632,104141769_633,104141769_634,104141769_635,104141769_636,104141769_637,104141769_638,104141769_639,104141769_640,104141769_641,104141769_642,104141769_643,104141769_733', 'gtm.uniqueEventId': 25732, 'gtm.willOpenInNewWindow': False}",2025-02-07T15:54:19.406Z
"{'event': 'gtm.click', 'gtm.element': 'WebElement(tag=a, text=)', 'gtm.elementClasses': 'primary-link hero__primary-cta   icon-arrow-right', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementUrl': 'https://www.landroverusa.com/range-rover/range-rover-sport/index.html#sv-edition-two', 'gtm.triggers': '598,599,2630,2631,2632,2633,2634,2635,2636,2637,2638,2639,2640,2641,2642,2643,2644,2645,2646,2647,2648,2649,2650,2651,2652,2653,2654,2655,2656,2657,2658,2659,2660,2661,2662,2663,2664,2665,2666,2667,2668,2669,2670,2671,2672,2673,2674,2675,2676,2677,3657,3698,3699,3700,3701,3702,3703,3704,3705,3706,3707,3708,3709,3710,3711,6268,6269,6270,6271,6272,6273', 'gtm.uniqueEventId': 27043}",2025-02-07T15:54:22.919Z
