data,timestamp
"{'event': 'gtm.click', 'gtm.element': 'WebElement(tag=span, text=)', 'gtm.elementClasses': 'cta-content', 'gtm.elementId': '', 'gtm.elementTarget': '', 'gtm.elementUrl': '', 'gtm.triggers': '598,599,2261,2262,2263,2264,2265,2266,2267,2268,2269,2270,2271,2272,2273,2274,2275,2276,2277,2278,2279,2280,2281,2282,2283,2284,2285,2286,2287,2288,2289,2290,2291,2292,2293,2294,2295,2296,2297,2298,2299,2300,2301,2302,2303,2304,2305,2306,2307,2308,3239', 'gtm.uniqueEventId': 3684}",2025-02-12T12:26:50.238Z
"{'event': 'gtm.linkClick', 'eventCallback': {}, 'eventTimeout': 2000, 'gtm.element': 'WebElement(tag=a, text=)', 'gtm.elementClasses': 'primary-link hero__primary-cta   icon-ignite-configure', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementText': 'KONFIGURATOR', 'gtm.elementUrl': 'https://www.rangerover.com/lr/de_de/l460_k25/_/a-ab_a-swb/ipr/personalise/model/', 'gtm.triggers': '8326285_29,8326285_77,8326285_108,8326285_111,8326285_113,8326285_115,8326285_120,8326285_121,8326285_123,8326285_148,8326285_176,8326285_178,8326285_185,8326285_790,8326285_791,8326285_794,8326285_860,8326285_930,8326285_931,8326285_932,8326285_933,8326285_934,8326285_935,8326285_936,8326285_937,8326285_938,8326285_939,8326285_952,8326285_962,8326285_967,8326285_973,8326285_1171,8326285_1190,8326285_1218,8326285_1847,8326285_1961,8326285_2011,8326285_2019,8326285_2097,599855_183,599855_233', 'gtm.uniqueEventId': 4129, 'gtm.willOpenInNewWindow': False}",2025-02-12T12:26:50.363Z
"{'event': 'coreWebVitals', 'gtm.uniqueEventId': 5117, 'webVitalsMeasurement': {'delta': 362.09999999403954, 'deltaRounded': 362, 'id': 'v4-1739363170802-7206757004512', 'name': 'LCP', 'navigationType': 'navigate', 'rating': 'good', 'value': 362.09999999403954, 'valueRounded': 362}}",2025-02-12T12:26:51.084Z
"{'event': 'gtm.click', 'gtm.element': 'WebElement(tag=a, text=)', 'gtm.elementClasses': ' secondary-link  None', 'gtm.elementId': '', 'gtm.elementTarget': '_blank', 'gtm.elementUrl': 'https://www.landrover.de/mynext-rangerover', 'gtm.triggers': '598,599,2261,2262,2263,2264,2265,2266,2267,2268,2269,2270,2271,2272,2273,2274,2275,2276,2277,2278,2279,2280,2281,2282,2283,2284,2285,2286,2287,2288,2289,2290,2291,2292,2293,2294,2295,2296,2297,2298,2299,2300,2301,2302,2303,2304,2305,2306,2307,2308,3239', 'gtm.uniqueEventId': 5297}",2025-02-12T12:26:54.173Z
"{'event': 'gtm.linkClick', 'eventCallback': {}, 'eventTimeout': 2000, 'gtm.element': 'WebElement(tag=a, text=)', 'gtm.elementClasses': ' secondary-link  None', 'gtm.elementId': '', 'gtm.elementTarget': '_blank', 'gtm.elementText': 'ZUR NEUFAHRZEUGSUCHE', 'gtm.elementUrl': 'https://www.landrover.de/mynext-rangerover', 'gtm.triggers': '8326285_29,8326285_77,8326285_108,8326285_111,8326285_113,8326285_115,8326285_120,8326285_121,8326285_123,8326285_148,8326285_176,8326285_178,8326285_185,8326285_790,8326285_791,8326285_794,8326285_860,8326285_930,8326285_931,8326285_932,8326285_933,8326285_934,8326285_935,8326285_936,8326285_937,8326285_938,8326285_939,8326285_952,8326285_962,8326285_967,8326285_973,8326285_1171,8326285_1190,8326285_1218,8326285_1847,8326285_1961,8326285_2011,8326285_2019,8326285_2097,599855_183,599855_233', 'gtm.uniqueEventId': 5742, 'gtm.willOpenInNewWindow': True}",2025-02-12T12:26:54.264Z
"{'event': 'gtm.click', 'gtm.element': 'WebElement(tag=span, text=)', 'gtm.elementClasses': 'cta-content', 'gtm.elementId': '', 'gtm.elementTarget': '', 'gtm.elementUrl': '', 'gtm.triggers': '598,599,2261,2262,2263,2264,2265,2266,2267,2268,2269,2270,2271,2272,2273,2274,2275,2276,2277,2278,2279,2280,2281,2282,2283,2284,2285,2286,2287,2288,2289,2290,2291,2292,2293,2294,2295,2296,2297,2298,2299,2300,2301,2302,2303,2304,2305,2306,2307,2308,3239', 'gtm.uniqueEventId': 6465}",2025-02-12T12:26:57.706Z
"{'event': 'gtm.linkClick', 'eventCallback': {}, 'eventTimeout': 2000, 'gtm.element': 'WebElement(tag=a, text=)', 'gtm.elementClasses': ' secondary-link  None', 'gtm.elementId': '', 'gtm.elementTarget': '_blank', 'gtm.elementText': 'ZUR NEUFAHRZEUGSUCHE', 'gtm.elementUrl': 'https://www.landrover.de/mynext-rangerover', 'gtm.triggers': '8326285_29,8326285_77,8326285_108,8326285_111,8326285_113,8326285_115,8326285_120,8326285_121,8326285_123,8326285_148,8326285_176,8326285_178,8326285_185,8326285_790,8326285_791,8326285_794,8326285_860,8326285_930,8326285_931,8326285_932,8326285_933,8326285_934,8326285_935,8326285_936,8326285_937,8326285_938,8326285_939,8326285_952,8326285_962,8326285_967,8326285_973,8326285_1171,8326285_1190,8326285_1218,8326285_1847,8326285_1961,8326285_2011,8326285_2019,8326285_2097,599855_183,599855_233', 'gtm.uniqueEventId': 6910, 'gtm.willOpenInNewWindow': True}",2025-02-12T12:26:57.785Z
"{'event': 'gtm.click', 'gtm.element': 'WebElement(tag=a, text=)', 'gtm.elementClasses': 'primary-link hero__primary-cta   icon-arrow-right', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementUrl': 'https://www.rangerover.com/de-de/range-rover/private-offers.html', 'gtm.triggers': '598,599,2261,2262,2263,2264,2265,2266,2267,2268,2269,2270,2271,2272,2273,2274,2275,2276,2277,2278,2279,2280,2281,2282,2283,2284,2285,2286,2287,2288,2289,2290,2291,2292,2293,2294,2295,2296,2297,2298,2299,2300,2301,2302,2303,2304,2305,2306,2307,2308,3239', 'gtm.uniqueEventId': 7633}",2025-02-12T12:27:01.157Z
"{'event': 'gtm.linkClick', 'eventCallback': {}, 'eventTimeout': 2000, 'gtm.element': 'WebElement(tag=a, text=)', 'gtm.elementClasses': 'primary-link hero__primary-cta   icon-arrow-right', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementText': 'ZUM ANGEBOT', 'gtm.elementUrl': 'https://www.rangerover.com/de-de/range-rover/private-offers.html', 'gtm.triggers': '8326285_29,8326285_77,8326285_108,8326285_111,8326285_113,8326285_115,8326285_120,8326285_121,8326285_123,8326285_148,8326285_176,8326285_178,8326285_185,8326285_790,8326285_791,8326285_794,8326285_860,8326285_930,8326285_931,8326285_932,8326285_933,8326285_934,8326285_935,8326285_936,8326285_937,8326285_938,8326285_939,8326285_952,8326285_962,8326285_967,8326285_973,8326285_1171,8326285_1190,8326285_1218,8326285_1847,8326285_1961,8326285_2011,8326285_2019,8326285_2097,599855_183,599855_233', 'gtm.uniqueEventId': 8078, 'gtm.willOpenInNewWindow': False}",2025-02-12T12:27:01.223Z
"{'event': 'gtm.click', 'gtm.element': 'WebElement(tag=span, text=)', 'gtm.elementClasses': 'cta-content', 'gtm.elementId': '', 'gtm.elementTarget': '', 'gtm.elementUrl': '', 'gtm.triggers': '598,599,2261,2262,2263,2264,2265,2266,2267,2268,2269,2270,2271,2272,2273,2274,2275,2276,2277,2278,2279,2280,2281,2282,2283,2284,2285,2286,2287,2288,2289,2290,2291,2292,2293,2294,2295,2296,2297,2298,2299,2300,2301,2302,2303,2304,2305,2306,2307,2308,3239', 'gtm.uniqueEventId': 9066}",2025-02-12T12:27:04.710Z
