event_label,gtm_event,event_action,event_category,url,timestamp
,,,,https://region1.google-analytics.com/g/collect?v=2&tid=G-Z69LH9X4YE&gtm=45je5240v883704567z878326285za200zb78326285&_p=1738945252859&gcs=G111&gcd=13n3n3T3n5l1&npa=0&dma=0&tag_exp=102067808~102081485~102123608~102482432~102539968~102556566~102558064~102587591~102605417&cid=2096512878.1738945264&ul=en-us&sr=1536x960&uaa=x86&uab=64&uafvl=Not%2520A(Brand%3B8.0.0.0%7CChromium%3B132.0.6834.160%7CGoogle%2520Chrome%3B132.0.6834.160&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&frm=0&pscdl=noapi&_s=2&sid=1738945263&sct=1&seg=1&dl=https%3A%2F%2Fwww.landroverusa.com%2Frange-rover%2Findex.html&dt=Range%20Rover%20%7C%20Explore%20Luxury%20SUVs%20and%204x4%20Vehicles&en=LCP&ep.webVitalsMeasurement_name=LCP&ep.webVitalsMeasurement_id=v4-1738945254631-7886456666823&epn.webVitalsMeasurement_value=2493.300000011921&epn.value=2493.300000011921&ep.debug_mode=false&ep.brand=Land%20Rover&ep.application=website&ep.market=us&ep.hostname=www.landroverusa.com&ep.cleanPageUrl=https%3A%2F%2Fwww.landroverusa.com%2Frange-rover%2Findex.html&ep.effective_connection_type=4g&epn.webVitalsMeasurement_valueRounded=2493&epn.webVitalsMeasurement_deltaRounded=2493&epn.webVitalsMeasurement_delta=2493.300000011921&ep.pagePathLevel1=range-rover&ep.pagePathLevel2=index.html&ep.nameplate=l460&ep.consent_status=TA%20cmapi_cookie_privacy%3A%20undefined%3B%20notice_behavior%3A%20undefined&_et=18469&tfd=34928,
EXPLORE :: cta-content,gtm.click,https://www.landroverusa.com/range-rover/index.html#explore,nav: cta linkClicks by class,https://tags.landroverusa.com/g/collect?v=2&tid=G-HHX77PWHW5&gtm=45je5240v897869598z878326285za200zb78326285&_p=1738945252859&gcs=G111&gcd=13n3n3T3n6l1&npa=0&dma=0&tag_exp=102067808~102081485~102123608~102482433~102539968~102558064~102587591~102605417&cid=2096512878.1738945264&ecid=321513564&ul=en-us&sr=1536x960&ur=GB-ENG&uaa=x86&uab=64&uafvl=Not%2520A(Brand%3B8.0.0.0%7CChromium%3B132.0.6834.160%7CGoogle%2520Chrome%3B132.0.6834.160&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&pae=1&frm=0&pscdl=noapi&sst.rnd=962971034.1738945256&sst.etld=google.co.uk&sst.gcsub=region1&sst.tft=1738945252859&sst.lpc=102765341&sst.navt=n&sst.ude=0&dr=&dl=https%3A%2F%2Fwww.landroverusa.com%2Frange-rover%2Findex.html&sid=1738945263&sct=1&seg=1&dt=Range%20Rover%20%7C%20Explore%20Luxury%20SUVs%20and%204x4%20Vehicles&_s=3&tfd=38065&richsstsse,
FIND OUT MORE :: cta-content,gtm.click,https://www.landroverusa.com/range-rover/range-rover-sport/index.html#sv-edition-two,nav: cta linkClicks by class,https://tags.landroverusa.com/g/collect?v=2&tid=G-HHX77PWHW5&gtm=45je5240v897869598z878326285za200zb78326285&_p=1738945252859&gcs=G111&gcd=13n3n3T3n6l1&npa=0&dma=0&tag_exp=102067808~102081485~102123608~102482433~102539968~102558064~102587591~102605417&cid=2096512878.1738945264&ecid=321513564&ul=en-us&sr=1536x960&ur=GB-ENG&uaa=x86&uab=64&uafvl=Not%2520A(Brand%3B8.0.0.0%7CChromium%3B132.0.6834.160%7CGoogle%2520Chrome%3B132.0.6834.160&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&pae=1&frm=0&pscdl=noapi&sst.rnd=962971034.1738945256&sst.etld=google.co.uk&sst.gcsub=region1&sst.tft=1738945252859&sst.lpc=102765341&sst.navt=n&sst.ude=0&dr=&dl=https%3A%2F%2Fwww.landroverusa.com%2Frange-rover%2Findex.html&sid=1738945263&sct=1&seg=1&dt=Range%20Rover%20%7C%20Explore%20Luxury%20SUVs%20and%204x4%20Vehicles&_s=5&tfd=64209&richsstsse,
BUILD AND RESERVE :: cta-content,gtm.click,https://buildyour.landroverusa.com/lr/en_us/l461_k25/_/a-sv-1/n-1kg/ipr/personalise,nav: cta linkClicks by class,https://tags.landroverusa.com/g/collect?v=2&tid=G-HHX77PWHW5&gtm=45je5240v897869598z878326285za200zb78326285&_p=1738945252859&gcs=G111&gcd=13n3n3T3n6l1&npa=0&dma=0&tag_exp=102067808~102081485~102123608~102482433~102539968~102558064~102587591~102605417&cid=2096512878.1738945264&ecid=321513564&ul=en-us&sr=1536x960&ur=GB-ENG&uaa=x86&uab=64&uafvl=Not%2520A(Brand%3B8.0.0.0%7CChromium%3B132.0.6834.160%7CGoogle%2520Chrome%3B132.0.6834.160&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&pae=1&frm=0&pscdl=noapi&sst.rnd=962971034.1738945256&sst.etld=google.co.uk&sst.gcsub=region1&sst.tft=1738945252859&sst.lpc=102765341&sst.navt=n&sst.ude=0&dr=&dl=https%3A%2F%2Fwww.landroverusa.com%2Frange-rover%2Findex.html&sid=1738945263&sct=1&seg=1&dt=Range%20Rover%20%7C%20Explore%20Luxury%20SUVs%20and%204x4%20Vehicles&_s=6&tfd=71340&richsstsse,
FIND OUT MORE :: cta-content,gtm.click,https://www.landroverusa.com/range-rover/range-rover-sport/index.html,nav: cta linkClicks by class,https://tags.landroverusa.com/g/collect?v=2&tid=G-HHX77PWHW5&gtm=45je5240v897869598z878326285za200zb78326285&_p=1738945252859&gcs=G111&gcd=13n3n3T3n6l1&npa=0&dma=0&tag_exp=102067808~102081485~102123608~102482433~102539968~102558064~102587591~102605417&cid=2096512878.1738945264&ecid=321513564&ul=en-us&sr=1536x960&ur=GB-ENG&uaa=x86&uab=64&uafvl=Not%2520A(Brand%3B8.0.0.0%7CChromium%3B132.0.6834.160%7CGoogle%2520Chrome%3B132.0.6834.160&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&pae=1&frm=0&pscdl=noapi&sst.rnd=962971034.1738945256&sst.etld=google.co.uk&sst.gcsub=region1&sst.tft=1738945252859&sst.lpc=102765341&sst.navt=n&sst.ude=0&dr=&dl=https%3A%2F%2Fwww.landroverusa.com%2Frange-rover%2Findex.html&sid=1738945263&sct=1&seg=1&dt=Range%20Rover%20%7C%20Explore%20Luxury%20SUVs%20and%204x4%20Vehicles&_s=7&tfd=78625&richsstsse,
BUILD AND RESERVE :: secondary-link None,gtm.click,https://buildyour.landroverusa.com/lr/en_us/l460/ipr/personalise,nav: cta linkClicks by class,https://tags.landroverusa.com/g/collect?v=2&tid=G-HHX77PWHW5&gtm=45je5240v897869598z878326285za200zb78326285&_p=1738945252859&gcs=G111&gcd=13n3n3T3n6l1&npa=0&dma=0&tag_exp=102067808~102081485~102123608~102482433~102539968~102558064~102587591~102605417&cid=2096512878.1738945264&ecid=321513564&ul=en-us&sr=1536x960&ur=GB-ENG&uaa=x86&uab=64&uafvl=Not%2520A(Brand%3B8.0.0.0%7CChromium%3B132.0.6834.160%7CGoogle%2520Chrome%3B132.0.6834.160&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&pae=1&frm=0&pscdl=noapi&sst.rnd=962971034.1738945256&sst.etld=google.co.uk&sst.gcsub=region1&sst.tft=1738945252859&sst.lpc=102765341&sst.navt=n&sst.ude=0&dr=&dl=https%3A%2F%2Fwww.landroverusa.com%2Frange-rover%2Findex.html&sid=1738945263&sct=1&seg=1&dt=Range%20Rover%20%7C%20Explore%20Luxury%20SUVs%20and%204x4%20Vehicles&_s=8&tfd=86009&richsstsse,
EXPLORE :: cta-content,gtm.click,https://www.landroverusa.com/range-rover/range-rover-sport/index.html,nav: cta linkClicks by class,https://tags.landroverusa.com/g/collect?v=2&tid=G-HHX77PWHW5&gtm=45je5240v897869598z878326285za200zb78326285&_p=1738945252859&gcs=G111&gcd=13n3n3T3n6l1&npa=0&dma=0&tag_exp=102067808~102081485~102123608~102482433~102539968~102558064~102587591~102605417&cid=2096512878.1738945264&ecid=321513564&ul=en-us&sr=1536x960&ur=GB-ENG&uaa=x86&uab=64&uafvl=Not%2520A(Brand%3B8.0.0.0%7CChromium%3B132.0.6834.160%7CGoogle%2520Chrome%3B132.0.6834.160&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&pae=1&frm=0&pscdl=noapi&sst.rnd=962971034.1738945256&sst.etld=google.co.uk&sst.gcsub=region1&sst.tft=1738945252859&sst.lpc=102765341&sst.navt=n&sst.ude=0&dr=&dl=https%3A%2F%2Fwww.landroverusa.com%2Frange-rover%2Findex.html&sid=1738945263&sct=1&seg=1&dt=Range%20Rover%20%7C%20Explore%20Luxury%20SUVs%20and%204x4%20Vehicles&_s=9&tfd=93318&richsstsse,
BUILD AND RESERVE :: cta-content,gtm.click,https://buildyour.landroverusa.com/lr/en_us/l461/ipr/personalise,nav: cta linkClicks by class,https://tags.landroverusa.com/g/collect?v=2&tid=G-HHX77PWHW5&gtm=45je5240v897869598z878326285za200zb78326285&_p=1738945252859&gcs=G111&gcd=13n3n3T3n6l1&npa=0&dma=0&tag_exp=102067808~102081485~102123608~102482433~102539968~102558064~102587591~102605417&cid=2096512878.1738945264&ecid=321513564&ul=en-us&sr=1536x960&ur=GB-ENG&uaa=x86&uab=64&uafvl=Not%2520A(Brand%3B8.0.0.0%7CChromium%3B132.0.6834.160%7CGoogle%2520Chrome%3B132.0.6834.160&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&pae=1&frm=0&pscdl=noapi&sst.rnd=962971034.1738945256&sst.etld=google.co.uk&sst.gcsub=region1&sst.tft=1738945252859&sst.lpc=102765341&sst.navt=n&sst.ude=0&dr=&dl=https%3A%2F%2Fwww.landroverusa.com%2Frange-rover%2Findex.html&sid=1738945263&sct=1&seg=1&dt=Range%20Rover%20%7C%20Explore%20Luxury%20SUVs%20and%204x4%20Vehicles&_s=10&tfd=100780&richsstsse,
BUILD AND RESERVE :: secondary-link None,gtm.click,https://buildyour.landroverusa.com/lr/en_us/l560_k26/ipr/personalise,nav: cta linkClicks by class,https://tags.landroverusa.com/g/collect?v=2&tid=G-HHX77PWHW5&gtm=45je5240v897869598z878326285za200zb78326285&_p=1738945252859&gcs=G111&gcd=13n3n3T3n6l1&npa=0&dma=0&tag_exp=102067808~102081485~102123608~102482433~102539968~102558064~102587591~102605417&cid=2096512878.1738945264&ecid=321513564&ul=en-us&sr=1536x960&ur=GB-ENG&uaa=x86&uab=64&uafvl=Not%2520A(Brand%3B8.0.0.0%7CChromium%3B132.0.6834.160%7CGoogle%2520Chrome%3B132.0.6834.160&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&pae=1&frm=0&pscdl=noapi&sst.rnd=962971034.1738945256&sst.etld=google.co.uk&sst.gcsub=region1&sst.tft=1738945252859&sst.lpc=102765341&sst.navt=n&sst.ude=0&dr=&dl=https%3A%2F%2Fwww.landroverusa.com%2Frange-rover%2Findex.html&sid=1738945263&sct=1&seg=1&dt=Range%20Rover%20%7C%20Explore%20Luxury%20SUVs%20and%204x4%20Vehicles&_s=11&tfd=108175&richsstsse,
EXPLORE :: cta-content,gtm.click,https://www.landroverusa.com/range-rover/range-rover-evoque/index.html,nav: cta linkClicks by class,https://tags.landroverusa.com/g/collect?v=2&tid=G-HHX77PWHW5&gtm=45je5240v897869598z878326285za200zb78326285&_p=1738945252859&gcs=G111&gcd=13n3n3T3n6l1&npa=0&dma=0&tag_exp=102067808~102081485~102123608~102482433~102539968~102558064~102587591~102605417&cid=2096512878.1738945264&ecid=321513564&ul=en-us&sr=1536x960&ur=GB-ENG&uaa=x86&uab=64&uafvl=Not%2520A(Brand%3B8.0.0.0%7CChromium%3B132.0.6834.160%7CGoogle%2520Chrome%3B132.0.6834.160&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&pae=1&frm=0&pscdl=noapi&sst.rnd=962971034.1738945256&sst.etld=google.co.uk&sst.gcsub=region1&sst.tft=1738945252859&sst.lpc=102765341&sst.navt=n&sst.ude=0&dr=&dl=https%3A%2F%2Fwww.landroverusa.com%2Frange-rover%2Findex.html&sid=1738945263&sct=1&seg=1&dt=Range%20Rover%20%7C%20Explore%20Luxury%20SUVs%20and%204x4%20Vehicles&_s=12&tfd=115454&richsstsse,
