data,timestamp
"{'event': 'gtm.click', 'gtm.element': 'WebElement(tag=a, text=EXPLORE)', 'gtm.elementClasses': 'primary-link hero__primary-cta   icon-arrow-right', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementUrl': 'https://www.landroverusa.com/range-rover/index.html#explore', 'gtm.triggers': '598,599,2439,2440,2441,2442,2443,2444,2445,2446,2447,2448,2449,2450,2451,2452,2453,2454,2455,2456,2457,2458,2459,2460,2461,2462,2463,2464,2465,2466,2467,2468,2469,2470,2471,2472,2473,2474,2475,2476,2477,2478,2479,2480,2481,2482,2483,2484,2485,2486,6317,6318,6319,6320,6321,6322,12083,12124,12125,12126,12127,12128,12129,12130,12131,12132,12133,12134,12135,12136,12137', 'gtm.uniqueEventId': 16647}",2025-02-07T16:21:21.898Z
"{'event': 'gtm.linkClick', 'eventCallback': {}, 'eventTimeout': 2000, 'gtm.element': 'WebElement(tag=a, text=EXPLORE)', 'gtm.elementClasses': 'primary-link hero__primary-cta   icon-arrow-right', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementText': 'EXPLORE', 'gtm.elementUrl': 'https://www.landroverusa.com/range-rover/index.html#explore', 'gtm.triggers': '8326285_29,8326285_77,8326285_108,8326285_111,8326285_113,8326285_115,8326285_120,8326285_121,8326285_123,8326285_148,8326285_176,8326285_178,8326285_185,8326285_790,8326285_791,8326285_794,8326285_860,8326285_930,8326285_931,8326285_932,8326285_933,8326285_934,8326285_935,8326285_936,8326285_937,8326285_938,8326285_939,8326285_952,8326285_962,8326285_967,8326285_973,8326285_1171,8326285_1190,8326285_1218,8326285_1847,8326285_1961,8326285_2011,8326285_2019,8326285_2097,104141769_603,104141769_632,104141769_633,104141769_634,104141769_635,104141769_636,104141769_637,104141769_638,104141769_639,104141769_640,104141769_641,104141769_642,104141769_643,104141769_733,104136541_22,599761_7,599761_8,599761_33,599761_53,599761_64,599761_83,599761_87,599761_88,599761_89,599761_90', 'gtm.uniqueEventId': 17680, 'gtm.willOpenInNewWindow': True}",2025-02-07T16:21:21.981Z
"{'event': 'coreWebVitals', 'gtm.uniqueEventId': 18991, 'webVitalsMeasurement': {'delta': 2493.300000011921, 'deltaRounded': 2493, 'id': 'v4-1738945254631-7886456666823', 'name': 'LCP', 'navigationType': 'navigate', 'rating': 'good', 'value': 2493.300000011921, 'valueRounded': 2493}}",2025-02-07T16:21:22.247Z
"{'event': 'gtm.click', 'gtm.element': 'WebElement(tag=span, text=EXPLORE)', 'gtm.elementClasses': 'cta-content', 'gtm.elementId': '', 'gtm.elementTarget': '', 'gtm.elementUrl': '', 'gtm.triggers': '598,599,2439,2440,2441,2442,2443,2444,2445,2446,2447,2448,2449,2450,2451,2452,2453,2454,2455,2456,2457,2458,2459,2460,2461,2462,2463,2464,2465,2466,2467,2468,2469,2470,2471,2472,2473,2474,2475,2476,2477,2478,2479,2480,2481,2482,2483,2484,2485,2486,6317,6318,6319,6320,6321,6322,12083,12124,12125,12126,12127,12128,12129,12130,12131,12132,12133,12134,12135,12136,12137', 'gtm.uniqueEventId': 19937}",2025-02-07T16:21:25.384Z
"{'event': 'gtm.linkClick', 'eventCallback': {}, 'eventTimeout': 2000, 'gtm.element': 'WebElement(tag=a, text=EXPLORE)', 'gtm.elementClasses': 'primary-link hero__primary-cta   icon-arrow-right', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementText': 'EXPLORE', 'gtm.elementUrl': 'https://www.landroverusa.com/range-rover/index.html#explore', 'gtm.triggers': '8326285_29,8326285_77,8326285_108,8326285_111,8326285_113,8326285_115,8326285_120,8326285_121,8326285_123,8326285_148,8326285_176,8326285_178,8326285_185,8326285_790,8326285_791,8326285_794,8326285_860,8326285_930,8326285_931,8326285_932,8326285_933,8326285_934,8326285_935,8326285_936,8326285_937,8326285_938,8326285_939,8326285_952,8326285_962,8326285_967,8326285_973,8326285_1171,8326285_1190,8326285_1218,8326285_1847,8326285_1961,8326285_2011,8326285_2019,8326285_2097,104141769_603,104141769_632,104141769_633,104141769_634,104141769_635,104141769_636,104141769_637,104141769_638,104141769_639,104141769_640,104141769_641,104141769_642,104141769_643,104141769_733,104136541_22,599761_7,599761_8,599761_33,599761_53,599761_64,599761_83,599761_87,599761_88,599761_89,599761_90', 'gtm.uniqueEventId': 20970, 'gtm.willOpenInNewWindow': True}",2025-02-07T16:21:25.435Z
"{'event': 'gtm.click', 'gtm.element': 'WebElement(tag=a, text=)', 'gtm.elementClasses': 'primary-link hero__primary-cta   icon-ignite-configure', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementUrl': 'https://buildyour.landroverusa.com/lr/en_us/l460_k25/4boyy/a-ab_a-si6-550_a-swb_h/a-rec-ab-swb-d_n-041cz_n-1aa/ipr/personalise/engine/?_gl=1*1c3rah8*_gcl_aw*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_dc*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_au*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*FPAU*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*_ga*MTIzNzgwNTY4NC4xNzI1MDMwMTMw*_ga_HHX77PWHW5*MTcyNTYyNjczNS4xOS4xLjE3MjU2Mjg2MDYuMC4wLjI5NTE5ODkyMg..*_fplc*RzdlcEJka2owQXdQd1FrMzFHT3AxNU40JTJGdXM2YTElMkZWVk0lMkJ2U3E5QUJmYmNEbHdEY0U0eVpxRXZIYWFQQzgwa2o1VFFyZEsxTXNFZDZYWUhBdmklMkJJUnI5RCUyRkxrc3U1d2tKT0glMkI3SFpvbEtVYzBBSkRCUCUyQkZWdWhvOGdRcHclM0QlM0Q.&_ga=2.107410626.133256551.1725376351-1237805684.1725030130%23_gl=1*5jwygv*_gcl_aw*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_dc*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_au*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*FPAU*MTA4NDUyMzI1LjE3MjEzMzU4MjI.', 'gtm.triggers': '598,599,2439,2440,2441,2442,2443,2444,2445,2446,2447,2448,2449,2450,2451,2452,2453,2454,2455,2456,2457,2458,2459,2460,2461,2462,2463,2464,2465,2466,2467,2468,2469,2470,2471,2472,2473,2474,2475,2476,2477,2478,2479,2480,2481,2482,2483,2484,2485,2486,6317,6318,6319,6320,6321,6322,12083,12124,12125,12126,12127,12128,12129,12130,12131,12132,12133,12134,12135,12136,12137', 'gtm.uniqueEventId': 22281}",2025-02-07T16:21:28.638Z
"{'event': 'gtm.linkClick', 'eventCallback': {}, 'eventTimeout': 2000, 'gtm.element': 'WebElement(tag=a, text=)', 'gtm.elementClasses': 'primary-link hero__primary-cta   icon-ignite-configure', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementText': 'BUILD AND RESERVE', 'gtm.elementUrl': 'https://buildyour.landroverusa.com/lr/en_us/l460_k25/4boyy/a-ab_a-si6-550_a-swb_h/a-rec-ab-swb-d_n-041cz_n-1aa/ipr/personalise/engine/?_gl=1*1c3rah8*_gcl_aw*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_dc*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_au*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*FPAU*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*_ga*MTIzNzgwNTY4NC4xNzI1MDMwMTMw*_ga_HHX77PWHW5*MTcyNTYyNjczNS4xOS4xLjE3MjU2Mjg2MDYuMC4wLjI5NTE5ODkyMg..*_fplc*RzdlcEJka2owQXdQd1FrMzFHT3AxNU40JTJGdXM2YTElMkZWVk0lMkJ2U3E5QUJmYmNEbHdEY0U0eVpxRXZIYWFQQzgwa2o1VFFyZEsxTXNFZDZYWUhBdmklMkJJUnI5RCUyRkxrc3U1d2tKT0glMkI3SFpvbEtVYzBBSkRCUCUyQkZWdWhvOGdRcHclM0QlM0Q.&_ga=2.107410626.133256551.1725376351-1237805684.1725030130%23_gl=1*5jwygv*_gcl_aw*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_dc*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_au*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*FPAU*MTA4NDUyMzI1LjE3MjEzMzU4MjI.', 'gtm.triggers': '8326285_29,8326285_77,8326285_108,8326285_111,8326285_113,8326285_115,8326285_120,8326285_121,8326285_123,8326285_148,8326285_176,8326285_178,8326285_185,8326285_790,8326285_791,8326285_794,8326285_860,8326285_930,8326285_931,8326285_932,8326285_933,8326285_934,8326285_935,8326285_936,8326285_937,8326285_938,8326285_939,8326285_952,8326285_962,8326285_967,8326285_973,8326285_1171,8326285_1190,8326285_1218,8326285_1847,8326285_1961,8326285_2011,8326285_2019,8326285_2097,104141769_603,104141769_632,104141769_633,104141769_634,104141769_635,104141769_636,104141769_637,104141769_638,104141769_639,104141769_640,104141769_641,104141769_642,104141769_643,104141769_733,104136541_22,599761_7,599761_8,599761_33,599761_53,599761_64,599761_83,599761_87,599761_88,599761_89,599761_90', 'gtm.uniqueEventId': 23314, 'gtm.willOpenInNewWindow': False}",2025-02-07T16:21:28.691Z
"{'event': 'gtm.click', 'gtm.element': 'WebElement(tag=span, text=)', 'gtm.elementClasses': 'cta-content', 'gtm.elementId': '', 'gtm.elementTarget': '', 'gtm.elementUrl': '', 'gtm.triggers': '598,599,2439,2440,2441,2442,2443,2444,2445,2446,2447,2448,2449,2450,2451,2452,2453,2454,2455,2456,2457,2458,2459,2460,2461,2462,2463,2464,2465,2466,2467,2468,2469,2470,2471,2472,2473,2474,2475,2476,2477,2478,2479,2480,2481,2482,2483,2484,2485,2486,6317,6318,6319,6320,6321,6322,12083,12124,12125,12126,12127,12128,12129,12130,12131,12132,12133,12134,12135,12136,12137', 'gtm.uniqueEventId': 24662}",2025-02-07T16:21:32.007Z
"{'event': 'gtm.linkClick', 'eventCallback': {}, 'eventTimeout': 2000, 'gtm.element': 'WebElement(tag=a, text=)', 'gtm.elementClasses': 'primary-link hero__primary-cta   icon-ignite-configure', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementText': 'BUILD AND RESERVE', 'gtm.elementUrl': 'https://buildyour.landroverusa.com/lr/en_us/l460_k25/4boyy/a-ab_a-si6-550_a-swb_h/a-rec-ab-swb-d_n-041cz_n-1aa/ipr/personalise/engine/?_gl=1*1c3rah8*_gcl_aw*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_dc*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_au*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*FPAU*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*_ga*MTIzNzgwNTY4NC4xNzI1MDMwMTMw*_ga_HHX77PWHW5*MTcyNTYyNjczNS4xOS4xLjE3MjU2Mjg2MDYuMC4wLjI5NTE5ODkyMg..*_fplc*RzdlcEJka2owQXdQd1FrMzFHT3AxNU40JTJGdXM2YTElMkZWVk0lMkJ2U3E5QUJmYmNEbHdEY0U0eVpxRXZIYWFQQzgwa2o1VFFyZEsxTXNFZDZYWUhBdmklMkJJUnI5RCUyRkxrc3U1d2tKT0glMkI3SFpvbEtVYzBBSkRCUCUyQkZWdWhvOGdRcHclM0QlM0Q.&_ga=2.107410626.133256551.1725376351-1237805684.1725030130%23_gl=1*5jwygv*_gcl_aw*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_dc*R0NMLjE3MTgwNDczODcuRUFJYUlRb2JDaE1JMXVqUTdlRFJoZ01WZGxKSEFSMHZqZ2ZZRUFBWUFTQUVFZ0lyWlBEX0J3RQ..*_gcl_au*MTA4NDUyMzI1LjE3MjEzMzU4MjI.*FPAU*MTA4NDUyMzI1LjE3MjEzMzU4MjI.', 'gtm.triggers': '8326285_29,8326285_77,8326285_108,8326285_111,8326285_113,8326285_115,8326285_120,8326285_121,8326285_123,8326285_148,8326285_176,8326285_178,8326285_185,8326285_790,8326285_791,8326285_794,8326285_860,8326285_930,8326285_931,8326285_932,8326285_933,8326285_934,8326285_935,8326285_936,8326285_937,8326285_938,8326285_939,8326285_952,8326285_962,8326285_967,8326285_973,8326285_1171,8326285_1190,8326285_1218,8326285_1847,8326285_1961,8326285_2011,8326285_2019,8326285_2097,104141769_603,104141769_632,104141769_633,104141769_634,104141769_635,104141769_636,104141769_637,104141769_638,104141769_639,104141769_640,104141769_641,104141769_642,104141769_643,104141769_733,104136541_22,599761_7,599761_8,599761_33,599761_53,599761_64,599761_83,599761_87,599761_88,599761_89,599761_90', 'gtm.uniqueEventId': 25695, 'gtm.willOpenInNewWindow': False}",2025-02-07T16:21:32.076Z
"{'event': 'gtm.click', 'gtm.element': 'WebElement(tag=span, text=)', 'gtm.elementClasses': 'cta-content', 'gtm.elementId': '', 'gtm.elementTarget': '', 'gtm.elementUrl': '', 'gtm.triggers': '598,599,2439,2440,2441,2442,2443,2444,2445,2446,2447,2448,2449,2450,2451,2452,2453,2454,2455,2456,2457,2458,2459,2460,2461,2462,2463,2464,2465,2466,2467,2468,2469,2470,2471,2472,2473,2474,2475,2476,2477,2478,2479,2480,2481,2482,2483,2484,2485,2486,6317,6318,6319,6320,6321,6322,12083,12124,12125,12126,12127,12128,12129,12130,12131,12132,12133,12134,12135,12136,12137', 'gtm.uniqueEventId': 27043}",2025-02-07T16:21:51.442Z
"{'event': 'gtm.linkClick', 'eventCallback': {}, 'eventTimeout': 2000, 'gtm.element': 'WebElement(tag=a, text=)', 'gtm.elementClasses': 'primary-link hero__primary-cta   icon-arrow-right', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementText': 'FIND OUT MORE', 'gtm.elementUrl': 'https://www.landroverusa.com/range-rover/range-rover-sport/index.html#sv-edition-two', 'gtm.triggers': '8326285_29,8326285_77,8326285_108,8326285_111,8326285_113,8326285_115,8326285_120,8326285_121,8326285_123,8326285_148,8326285_176,8326285_178,8326285_185,8326285_790,8326285_791,8326285_794,8326285_860,8326285_930,8326285_931,8326285_932,8326285_933,8326285_934,8326285_935,8326285_936,8326285_937,8326285_938,8326285_939,8326285_952,8326285_962,8326285_967,8326285_973,8326285_1171,8326285_1190,8326285_1218,8326285_1847,8326285_1961,8326285_2011,8326285_2019,8326285_2097,104141769_603,104141769_632,104141769_633,104141769_634,104141769_635,104141769_636,104141769_637,104141769_638,104141769_639,104141769_640,104141769_641,104141769_642,104141769_643,104141769_733,104136541_22,599761_7,599761_8,599761_33,599761_53,599761_64,599761_83,599761_87,599761_88,599761_89,599761_90', 'gtm.uniqueEventId': 28076, 'gtm.willOpenInNewWindow': False}",2025-02-07T16:21:51.594Z
"{'event': 'gtm.click', 'gtm.element': 'WebElement(tag=a, text=)', 'gtm.elementClasses': ' secondary-link  None', 'gtm.elementId': '', 'gtm.elementTarget': '_self', 'gtm.elementUrl': 'https://buildyour.landroverusa.com/lr/en_us/l461_k25/_/a-sv-1/n-1kg/ipr/personalise', 'gtm.triggers': '598,599,2439,2440,2441,2442,2443,2444,2445,2446,2447,2448,2449,2450,2451,2452,2453,2454,2455,2456,2457,2458,2459,2460,2461,2462,2463,2464,2465,2466,2467,2468,2469,2470,2471,2472,2473,2474,2475,2476,2477,2478,2479,2480,2481,2482,2483,2484,2485,2486,6317,6318,6319,6320,6321,6322,12083,12124,12125,12126,12127,12128,12129,12130,12131,12132,12133,12134,12135,12136,12137', 'gtm.uniqueEventId': 29387}",2025-02-07T16:21:55.018Z
